"","generation","DFE","selfing","value","sd","replicate","selfing_class","Nem"
"129","f2","DFE3","GRAPES",0.193163908297339,0.0264197542019615,NA,"0% Selfing","Nem05"
"130","f2","DFE1","GRAPES",0.185037812750957,0.0149425941617378,NA,"50% Selfing","Nem05"
"131","f2","DFE2","GRAPES",0.42611819545887,0.0259536548205712,NA,"50% Selfing","Nem05"
"132","f2","DFE3","GRAPES",0.189473164623399,0.00656731333339252,NA,"50% Selfing","Nem05"
"133","f2","DFE1","GRAPES",0.0175769167551851,0.0123143850495734,NA,"99% Selfing","Nem05"
"134","f2","DFE2","GRAPES",0.139574112727953,0.0729722446032103,NA,"99% Selfing","Nem05"
"135","f2","DFE3","GRAPES",0.167131757057392,0.014967664439336,NA,"99% Selfing","Nem05"
"136","f3","DFE1","GRAPES",2.05410461809441e-05,3.4584175756633e-05,NA,"0% Selfing","Nem05"
"137","f3","DFE2","GRAPES",0.173102647919177,0.0203020693976733,NA,"0% Selfing","Nem05"
"138","f3","DFE3","GRAPES",0.578485071365873,0.0174500617369403,NA,"0% Selfing","Nem05"
"139","f3","DFE1","GRAPES",0.000429339458811739,0.00043442696848438,NA,"50% Selfing","Nem05"
"140","f3","DFE2","GRAPES",0.194090970560245,0.031025047242335,NA,"50% Selfing","Nem05"
"141","f3","DFE3","GRAPES",0.575695062406891,0.00954516336759573,NA,"50% Selfing","Nem05"
"142","f3","DFE1","GRAPES",6.04282224259123e-10,1.12227208751665e-09,NA,"99% Selfing","Nem05"
"143","f3","DFE2","GRAPES",0.00579017020574444,0.00593133346858348,NA,"99% Selfing","Nem05"
"144","f3","DFE3","GRAPES",0.357618473213792,0.0183097888162875,NA,"99% Selfing","Nem05"
